ID,Name,Longitude_WGS84,Latitude_WGS84,Street,AdmArea,District,RouteNumbers,StationName,Direction,Pavilion,OperatingOrgName,EntryState,global_id,geoData
65,"«Бескудниково», Дмитровское шоссе (от центра)",37.54811496,55.87427208,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763; АТ78,Бескудниково,от центра,да,ГУП «Мосгортранс»,активна,1715951,"{type=Point, coordinates=[37.54811496, 55.87427208]}"
66,"«Баскетбольная школа», Дубнинская улица (от центра)",37.55775278,55.88068293,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Баскетбольная школа,от центра,да,ГУП «Мосгортранс»,активна,1715952,"{type=Point, coordinates=[37.55775278, 55.88068293]}"
67,"«Д/к Юность», Дубнинская улица (от центра)",37.5577084088,55.8843275315,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Д/к Юность,от центра,да,ГУП «Мосгортранс»,активна,1715953,"{type=Point, coordinates=[37.5577084088, 55.8843275315]}"
68,"«Мкр. Дубки», Дубнинская улица (от центра)",37.5576739643,55.8881514089,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Мкр. Дубки,от центра,да,ГУП «Мосгортранс»,активна,1715954,"{type=Point, coordinates=[37.5576739643, 55.8881514089]}"
69,"«Ин-т Стали», Дубнинская улица (от центра)",37.55762874,55.89221605,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Ин-т Стали,от центра,да,ГУП «Мосгортранс»,активна,1715955,"{type=Point, coordinates=[37.55762874, 55.89221605]}"
70,"«Керамический пр.», Дубнинская улица (от центра)",37.5575677861,55.8935280894,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Керамический пр.,от центра,да,ГУП «Мосгортранс»,активна,1715956,"{type=Point, coordinates=[37.5575677861, 55.8935280894]}"
